COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
20207,9.20%,17.50%,17.10%,24.70%,31.40%
20209,2.50%,5.60%,7.60%,17.80%,66.50%
21001,7.60%,11.50%,16.70%,24.30%,39.90%
21003,10.10%,7.20%,9.70%,21.10%,51.90%
21005,6.20%,1.00%,4.40%,48.30%,40.10%
21007,10.70%,3.30%,19.80%,25.70%,40.40%
21009,5.30%,9.30%,9.00%,17.60%,58.80%
21011,7.60%,5.80%,8.40%,33.90%,44.30%
21013,14.60%,9.40%,12.00%,19.90%,44.00%
21015,8.00%,8.70%,8.10%,23.20%,52.00%
21017,2.40%,3.70%,4.20%,12.90%,76.90%
21019,8.40%,12.50%,20.20%,23.50%,35.40%
21021,9.20%,3.70%,11.20%,16.10%,59.80%
21023,5.60%,24.90%,6.50%,23.80%,39.20%
21025,11.40%,8.10%,12.60%,24.10%,43.80%
21027,2.30%,14.60%,17.70%,13.80%,51.70%
21029,3.70%,9.10%,15.60%,18.10%,53.50%
21031,6.60%,9.70%,13.30%,17.00%,53.50%
21033,5.90%,6.70%,26.00%,17.70%,43.80%
21035,6.60%,8.40%,24.80%,17.00%,43.20%
21037,7.30%,8.50%,13.40%,27.80%,43.00%
21039,10.40%,4.50%,18.80%,23.60%,42.80%
21041,15.50%,17.10%,12.00%,20.80%,34.60%
21043,6.90%,10.20%,12.20%,32.40%,38.30%
21045,16.40%,7.60%,16.10%,15.40%,44.40%
21047,6.00%,11.80%,17.80%,27.90%,36.50%
21049,8.30%,9.30%,11.00%,23.30%,48.00%
21051,15.30%,8.20%,16.50%,16.00%,44.00%
21053,9.60%,11.50%,24.80%,16.50%,37.50%
21055,12.10%,11.70%,29.00%,15.30%,31.90%
21057,6.70%,10.60%,22.40%,22.90%,37.40%
21059,5.50%,5.70%,12.20%,23.60%,53.10%
21061,5.50%,5.70%,8.60%,17.90%,62.40%
21063,11.70%,10.00%,5.10%,28.90%,44.30%
21065,8.20%,15.10%,9.00%,27.50%,40.20%
21067,3.10%,5.10%,6.60%,20.20%,65.00%
21069,6.80%,6.90%,7.50%,28.70%,50.20%
21071,13.10%,6.60%,12.90%,13.40%,54.00%
21073,8.80%,3.60%,14.20%,21.40%,52.10%
21075,10.00%,10.20%,20.20%,21.70%,38.00%
21077,7.60%,4.80%,19.80%,21.10%,46.60%
21079,7.70%,4.30%,6.30%,27.60%,54.00%
21081,4.70%,5.60%,18.30%,10.60%,60.80%
21083,10.30%,6.90%,26.60%,22.20%,34.00%
21085,4.30%,4.20%,13.40%,15.40%,62.70%
21087,6.30%,7.60%,12.70%,24.70%,48.80%
21089,9.20%,10.10%,23.60%,22.80%,34.20%
21091,1.90%,8.00%,12.10%,23.50%,54.60%
21093,5.70%,6.20%,10.60%,21.70%,55.80%
21095,7.60%,9.30%,9.80%,12.60%,60.60%
21097,7.30%,4.40%,3.10%,4.70%,80.40%
21099,5.30%,3.40%,11.80%,18.50%,61.00%
21101,7.20%,6.10%,13.60%,22.90%,50.10%
21103,9.30%,8.20%,17.40%,25.40%,39.80%
21105,9.70%,6.50%,22.10%,20.20%,41.50%
21107,4.00%,6.70%,17.40%,21.70%,50.20%
21109,18.30%,6.80%,9.20%,23.50%,42.10%
21111,3.60%,4.80%,8.30%,23.00%,60.20%
21113,2.20%,3.60%,10.40%,21.00%,62.80%
21115,10.20%,5.30%,10.60%,12.70%,61.20%
21117,5.20%,5.60%,14.60%,24.50%,50.00%
21119,15.70%,7.30%,13.00%,14.20%,49.70%
21121,18.70%,7.30%,10.30%,16.50%,47.10%
21123,7.40%,5.30%,9.00%,21.30%,57.00%
21125,20.10%,4.70%,8.30%,15.20%,51.70%
21127,15.50%,9.10%,15.10%,12.50%,47.90%
21129,12.90%,6.90%,12.90%,27.30%,39.90%
21131,9.40%,10.30%,14.20%,17.40%,48.70%
21133,7.80%,5.00%,12.70%,12.20%,62.40%
21135,5.70%,8.10%,21.00%,29.60%,35.70%
21137,17.20%,5.40%,9.30%,17.20%,50.90%
21139,8.00%,10.00%,29.00%,19.10%,33.90%
21141,9.90%,10.00%,8.00%,19.80%,52.30%
21143,5.20%,11.00%,31.60%,13.80%,38.40%
21145,8.50%,5.80%,23.20%,25.50%,37.00%
21147,9.60%,11.60%,14.30%,20.30%,44.10%
21149,8.10%,10.50%,10.70%,24.90%,45.90%
21151,8.80%,9.40%,11.40%,23.30%,47.10%
21153,10.70%,7.80%,11.10%,16.40%,54.00%
21155,4.60%,8.20%,7.40%,14.40%,65.40%
21157,6.10%,8.30%,28.00%,18.00%,39.50%
21159,10.80%,5.50%,9.60%,10.40%,63.70%
21161,5.60%,11.90%,6.10%,28.40%,47.90%
21163,1.80%,15.40%,11.50%,15.40%,55.90%
21165,16.10%,8.80%,6.70%,21.50%,46.80%
21167,4.70%,1.20%,17.80%,19.50%,56.70%
21169,4.80%,10.90%,13.40%,22.20%,48.70%
21171,8.20%,13.40%,18.50%,15.00%,44.80%
21173,3.00%,4.10%,8.50%,39.20%,45.20%
21175,13.30%,11.60%,7.10%,18.20%,49.80%
21177,3.50%,15.40%,12.30%,20.00%,48.80%
21179,3.30%,10.60%,6.80%,24.40%,54.80%
21181,2.30%,2.50%,9.00%,27.10%,59.10%
21183,6.40%,14.50%,10.90%,19.00%,49.20%
21185,2.50%,3.90%,9.80%,27.80%,56.00%
21187,9.10%,3.90%,11.40%,19.80%,55.80%
21189,12.10%,5.80%,15.70%,28.20%,38.20%
21191,3.50%,12.10%,10.30%,12.90%,61.30%
21193,12.30%,9.30%,11.10%,17.10%,50.20%
21195,9.60%,8.80%,12.30%,14.80%,54.50%
21197,11.20%,9.90%,10.20%,23.20%,45.50%
21199,13.00%,12.30%,9.60%,16.40%,48.70%
21201,4.80%,12.30%,3.90%,20.40%,58.60%
21203,21.50%,7.90%,7.50%,15.70%,47.40%
21205,15.90%,9.70%,4.70%,23.10%,46.70%
21207,9.60%,13.80%,19.50%,20.60%,36.50%
21209,4.00%,4.40%,7.60%,8.10%,75.90%
21211,9.20%,10.70%,5.40%,26.10%,48.70%
21213,13.70%,6.60%,16.20%,20.80%,42.60%
21215,3.20%,5.80%,4.70%,41.00%,45.30%
21217,7.30%,7.30%,11.10%,21.00%,53.30%
21219,5.80%,14.70%,13.50%,26.60%,39.40%
21221,6.60%,5.30%,13.10%,15.20%,59.70%
21223,13.40%,17.20%,13.50%,21.70%,34.20%
21225,21.10%,7.90%,22.90%,17.20%,30.90%
21227,7.60%,6.70%,6.30%,18.50%,60.90%
21229,3.50%,6.60%,11.60%,22.10%,56.20%
21231,10.20%,15.10%,16.00%,16.90%,41.70%
21233,8.80%,8.40%,16.70%,21.00%,45.10%
21235,17.60%,6.20%,11.30%,17.40%,47.60%
21237,14.00%,9.50%,11.40%,20.30%,44.80%
21239,4.20%,1.70%,4.90%,19.30%,69.80%
22001,12.20%,11.10%,13.80%,26.50%,36.20%
22003,19.60%,7.00%,11.80%,20.00%,41.60%
22005,4.90%,9.20%,14.20%,14.80%,56.90%
22007,7.90%,3.40%,21.30%,20.60%,46.80%
22009,13.00%,9.20%,7.30%,24.60%,45.90%
22011,8.60%,6.90%,16.90%,19.10%,48.60%
22013,7.80%,5.20%,17.00%,29.10%,40.90%
22015,6.80%,9.60%,14.40%,22.50%,46.80%
22017,5.80%,7.90%,15.80%,20.90%,49.70%
22019,10.20%,13.90%,7.70%,21.20%,47.10%
22021,10.20%,6.10%,9.80%,24.10%,49.80%
22023,8.90%,12.70%,7.90%,20.10%,50.50%
22025,11.00%,5.60%,8.60%,14.70%,60.00%
22027,14.60%,6.80%,4.00%,27.30%,47.30%
22029,11.00%,10.40%,11.20%,9.50%,57.90%
22031,3.50%,7.50%,13.20%,16.20%,59.60%
22033,5.20%,3.10%,9.00%,18.30%,64.20%
22035,2.20%,4.60%,12.10%,13.70%,67.40%
22037,6.70%,5.30%,9.50%,36.60%,42.00%
22039,21.50%,7.70%,11.10%,21.10%,38.70%
22041,12.30%,5.40%,10.20%,15.60%,56.50%
22043,8.60%,4.10%,10.90%,22.90%,53.50%
22045,11.20%,8.40%,8.50%,25.30%,46.70%
22047,6.10%,2.10%,8.40%,19.00%,64.40%
22049,11.60%,8.30%,12.70%,29.00%,38.30%
22051,4.40%,3.10%,6.60%,17.40%,68.50%
22053,24.90%,11.10%,9.00%,19.60%,35.40%
22055,6.20%,8.30%,10.50%,21.70%,53.30%
22057,7.80%,3.90%,15.90%,15.10%,57.30%
22059,8.20%,3.50%,8.90%,22.30%,57.10%
22061,10.20%,8.00%,11.10%,29.00%,41.70%
22063,6.00%,4.30%,14.40%,29.00%,46.30%
22065,3.40%,6.80%,10.90%,17.20%,61.70%
22067,3.90%,10.50%,12.40%,16.60%,56.60%
22069,9.60%,6.30%,11.30%,16.70%,56.10%
22071,1.90%,3.40%,8.70%,20.60%,65.40%
22073,7.60%,9.80%,12.10%,22.90%,47.60%
22075,6.50%,3.50%,16.50%,22.20%,51.30%
22077,4.40%,8.20%,6.80%,19.80%,60.80%
22079,10.60%,4.60%,8.70%,23.60%,52.40%
22081,6.80%,8.10%,13.50%,18.90%,52.70%
22083,6.60%,8.00%,12.60%,19.40%,53.40%
22085,9.80%,8.00%,11.30%,14.50%,56.40%
22087,3.50%,7.50%,13.60%,23.00%,52.40%
22089,9.30%,4.80%,2.70%,16.50%,66.70%
22091,6.40%,12.60%,13.80%,23.70%,43.40%
22093,3.40%,9.90%,20.20%,6.10%,60.30%
22095,9.60%,5.90%,19.00%,7.90%,57.70%
22097,6.40%,10.50%,11.70%,19.90%,51.50%
22099,6.90%,11.00%,9.60%,17.80%,54.80%
22101,6.60%,2.00%,17.90%,28.00%,45.40%
22103,3.10%,7.30%,7.40%,21.10%,61.10%
22105,6.60%,7.20%,10.30%,19.30%,56.60%
22107,8.10%,6.40%,9.70%,13.40%,62.50%
22109,6.80%,5.20%,14.00%,22.10%,51.90%
22111,7.10%,14.20%,10.60%,24.40%,43.60%
22113,7.60%,8.80%,11.50%,27.10%,44.90%
22115,9.20%,6.60%,14.50%,24.40%,45.30%
22117,10.30%,4.60%,14.80%,24.20%,46.10%
22119,13.40%,4.40%,6.30%,26.50%,49.40%
22121,4.40%,4.00%,7.00%,19.70%,64.90%
22123,2.20%,6.30%,12.40%,11.40%,67.70%
22125,7.20%,13.00%,3.70%,26.50%,49.60%
22127,8.60%,10.60%,13.00%,23.60%,44.30%
23001,8.30%,9.90%,4.10%,19.90%,57.70%
23003,14.30%,4.70%,12.00%,24.30%,44.70%
23005,5.00%,5.30%,4.60%,18.20%,66.90%
23007,0.60%,6.30%,19.10%,16.10%,57.90%
23009,3.40%,5.20%,11.80%,20.20%,59.40%
23011,1.60%,7.40%,12.50%,24.50%,54.00%
23013,0.70%,1.00%,11.10%,24.80%,62.50%
23015,3.10%,1.40%,6.50%,20.40%,68.80%
23017,6.90%,6.50%,6.40%,21.30%,58.90%
23019,3.80%,7.10%,8.50%,18.90%,61.70%
23021,6.20%,14.60%,12.30%,18.90%,47.90%
23023,6.10%,2.60%,3.30%,21.60%,66.40%
23025,3.50%,9.50%,14.20%,17.00%,55.80%
23027,2.30%,6.00%,15.00%,18.20%,58.50%
23029,2.60%,3.20%,12.60%,20.40%,61.20%
23031,7.60%,3.60%,6.10%,17.30%,65.50%
24001,0.70%,1.00%,3.50%,21.30%,73.60%
24003,1.80%,2.20%,6.70%,15.40%,73.90%
24005,1.30%,2.40%,4.30%,14.20%,77.70%
24009,4.90%,4.90%,7.10%,11.00%,72.00%
24011,0.90%,1.90%,3.30%,16.80%,77.00%
24013,1.40%,0.80%,6.20%,17.00%,74.60%
24015,0.90%,1.80%,5.40%,18.20%,73.80%
24017,3.50%,3.40%,10.70%,15.70%,66.70%
24019,2.00%,0.60%,1.10%,11.90%,84.40%
24021,2.80%,3.60%,6.20%,11.30%,76.20%
24023,7.70%,0.80%,4.00%,30.50%,57.10%
24025,0.80%,0.90%,3.70%,16.80%,77.80%
24027,2.40%,1.50%,6.70%,17.00%,72.30%
24029,0.50%,1.40%,6.00%,20.70%,71.40%
24031,2.50%,2.90%,4.10%,12.80%,77.70%
24033,8.70%,3.40%,6.40%,9.40%,72.00%
24035,0.20%,4.20%,4.10%,30.90%,60.50%
24037,4.00%,0.90%,3.60%,15.20%,76.30%
24039,0.40%,1.00%,4.70%,12.80%,81.20%
24041,1.20%,1.20%,0.60%,12.70%,84.30%
24043,3.10%,4.70%,8.50%,19.40%,64.20%
24045,0.60%,1.10%,6.30%,11.60%,80.40%
24047,0.30%,0.40%,4.20%,11.00%,84.20%
24510,2.40%,3.20%,6.30%,14.80%,73.30%
25001,1.90%,0.70%,2.60%,10.90%,83.90%
25003,3.00%,0.40%,4.90%,8.20%,83.40%
25005,1.60%,2.00%,5.60%,16.10%,74.70%
25007,0.60%,1.00%,3.70%,16.00%,78.60%
25009,2.30%,1.00%,4.70%,13.10%,78.80%
25011,4.30%,1.10%,2.80%,15.60%,76.20%
25013,1.30%,1.70%,5.50%,13.00%,78.60%
25015,1.10%,0.60%,1.70%,10.90%,85.70%
25017,2.30%,1.10%,4.10%,12.70%,79.80%
25019,1.50%,0.30%,3.40%,15.60%,79.20%
25021,2.00%,1.50%,3.50%,12.50%,80.50%
25023,1.40%,1.70%,4.50%,11.20%,81.20%
25025,2.00%,0.70%,4.90%,13.60%,78.80%
25027,2.00%,2.70%,4.30%,14.20%,76.80%
26001,6.50%,4.60%,13.30%,18.00%,57.60%
26003,2.50%,3.40%,11.80%,22.90%,59.50%
26005,5.00%,3.50%,13.30%,28.30%,50.00%
26007,2.50%,4.00%,14.40%,18.00%,61.20%
26009,2.70%,4.20%,8.80%,21.80%,62.50%
26011,5.20%,13.60%,7.60%,25.20%,48.40%
26013,1.20%,6.30%,10.90%,25.70%,55.80%
26015,4.30%,12.10%,12.10%,21.10%,50.40%
26017,1.40%,5.50%,10.30%,20.20%,62.70%
26019,1.00%,4.90%,6.20%,16.40%,71.50%
26021,3.90%,3.70%,12.20%,24.70%,55.50%
26023,7.20%,9.10%,20.50%,23.40%,39.90%
26025,6.30%,12.10%,7.80%,17.80%,55.90%
26027,4.60%,7.60%,12.30%,27.40%,48.00%
26029,2.70%,5.70%,8.50%,20.50%,62.60%
26031,2.70%,5.20%,8.60%,25.20%,58.40%
26033,3.00%,2.20%,6.80%,28.70%,59.30%
26035,5.00%,2.60%,10.20%,30.80%,51.40%
26037,3.30%,5.60%,4.60%,26.30%,60.30%
26039,4.30%,5.00%,6.10%,18.10%,66.60%
26041,5.80%,2.30%,17.00%,21.70%,53.20%
26043,4.30%,6.50%,12.70%,24.90%,51.60%
26045,4.70%,3.90%,14.70%,24.70%,52.00%
26047,2.50%,6.20%,7.50%,21.90%,61.80%
26049,3.20%,4.30%,10.40%,28.80%,53.30%
26051,2.50%,2.40%,10.90%,33.80%,50.30%
26053,3.90%,6.40%,13.90%,25.70%,50.10%
26055,0.40%,4.10%,8.20%,20.00%,67.20%
26057,5.70%,7.40%,10.50%,16.90%,59.60%
26059,13.50%,7.50%,11.90%,24.70%,42.40%
26061,0.80%,7.80%,12.90%,28.10%,50.50%
26063,8.00%,7.20%,3.20%,27.10%,54.40%
26065,6.20%,3.00%,7.60%,23.70%,59.50%
26067,3.50%,20.30%,13.90%,22.90%,39.40%
26069,10.00%,8.40%,9.90%,20.60%,51.10%
26071,4.60%,6.80%,12.60%,22.70%,53.30%
26073,9.60%,5.70%,11.20%,19.10%,54.40%
26075,11.00%,8.00%,13.30%,16.60%,51.10%
26077,2.00%,5.90%,6.20%,16.70%,69.30%
26079,1.80%,3.70%,7.00%,22.80%,64.60%
26081,1.90%,6.10%,6.30%,21.50%,64.10%
26083,0.60%,7.10%,12.90%,27.70%,51.80%
26085,5.20%,12.20%,7.30%,20.40%,54.80%
26087,3.60%,10.50%,10.40%,13.30%,62.20%
26089,0.30%,3.80%,9.20%,20.30%,66.30%
26091,1.80%,2.70%,8.30%,26.00%,61.20%
26093,4.20%,2.10%,5.20%,19.80%,68.70%
26095,2.80%,3.00%,8.80%,23.70%,61.70%
26097,3.20%,4.00%,7.30%,25.60%,59.90%
26099,3.40%,4.30%,9.00%,14.50%,68.80%
26101,3.50%,5.00%,8.70%,12.10%,70.70%
26103,1.60%,4.50%,11.00%,25.10%,57.80%
26105,4.60%,5.40%,19.90%,14.00%,56.10%
26107,9.10%,10.40%,8.70%,24.30%,47.50%
26109,5.90%,7.30%,6.80%,25.30%,54.70%
26111,3.10%,3.00%,9.80%,21.40%,62.60%
26113,2.50%,3.60%,8.20%,19.10%,66.60%
26115,6.60%,3.50%,5.40%,18.30%,66.30%
26117,2.80%,13.70%,16.70%,21.00%,45.80%
26119,4.40%,7.10%,12.60%,18.60%,57.40%
26121,8.40%,4.50%,10.00%,16.00%,61.10%
26123,9.90%,12.10%,2.70%,30.00%,45.40%
26125,2.80%,2.70%,4.90%,16.90%,72.70%
26127,7.40%,3.30%,11.40%,16.30%,61.60%
26129,6.10%,11.70%,10.60%,25.90%,45.80%
26131,2.50%,8.60%,12.30%,26.50%,50.10%
26133,7.00%,7.30%,8.90%,23.80%,53.10%
26135,5.70%,7.30%,9.60%,18.10%,59.30%
26137,6.00%,6.80%,9.70%,17.20%,60.20%
26139,4.20%,5.70%,12.00%,25.10%,53.10%
26141,2.00%,4.00%,14.30%,22.30%,57.50%
26143,1.20%,3.70%,9.70%,21.70%,63.70%
26145,3.10%,7.30%,8.20%,19.70%,61.60%
26147,5.10%,6.90%,4.60%,19.40%,64.00%
26149,4.80%,7.90%,19.70%,18.90%,48.80%
26151,7.80%,11.20%,7.70%,21.00%,52.20%
26153,4.10%,2.10%,14.00%,18.70%,61.10%
26155,11.60%,4.60%,6.50%,29.70%,47.50%
26157,9.10%,5.00%,7.80%,24.60%,53.60%
26159,2.50%,6.80%,13.70%,18.30%,58.70%
26161,1.90%,2.20%,4.60%,18.00%,73.30%
26163,4.60%,3.20%,7.50%,15.60%,69.00%
26165,3.60%,5.60%,7.70%,17.10%,65.90%
27001,18.70%,11.50%,7.50%,24.70%,37.50%
27003,5.40%,7.80%,13.20%,24.50%,49.20%
27005,5.20%,28.00%,17.50%,24.00%,25.20%
27007,9.40%,15.50%,22.50%,18.50%,34.00%
27009,8.40%,13.90%,20.90%,14.70%,42.00%
27011,25.60%,12.10%,18.50%,14.60%,29.20%
27013,6.50%,7.80%,14.60%,27.60%,43.50%
27015,10.10%,6.10%,25.10%,26.50%,32.20%
27017,5.80%,5.40%,9.00%,32.90%,46.90%
27019,2.40%,12.80%,18.30%,29.60%,36.80%
27021,10.50%,12.70%,10.70%,23.50%,42.60%
27023,10.80%,10.60%,24.40%,22.40%,31.80%
27025,6.40%,10.40%,16.50%,25.30%,41.40%
27027,9.20%,12.10%,13.80%,23.00%,41.90%
27029,6.50%,21.00%,20.30%,17.20%,35.10%
27031,18.40%,2.00%,3.80%,25.70%,50.00%
27033,21.60%,4.50%,26.20%,21.50%,26.30%
27035,14.70%,11.20%,8.10%,24.90%,41.10%
27037,7.20%,7.60%,12.90%,23.60%,48.80%
27039,3.50%,9.60%,7.10%,32.50%,47.30%
27041,9.90%,17.80%,14.80%,22.50%,35.00%
27043,7.80%,15.80%,16.30%,26.10%,34.00%
27045,2.60%,10.20%,9.90%,29.00%,48.30%
27047,13.50%,8.50%,20.60%,28.30%,29.10%
27049,3.00%,3.90%,13.80%,28.00%,51.30%
27051,11.00%,13.70%,19.30%,16.50%,39.60%
27053,2.10%,4.40%,9.60%,24.30%,59.60%
27055,7.20%,8.00%,8.60%,28.30%,47.80%
27057,7.80%,15.00%,16.40%,22.70%,38.00%
27059,10.40%,9.90%,21.50%,14.00%,44.20%
27061,16.20%,14.20%,15.10%,20.90%,33.60%
27063,32.50%,2.40%,14.00%,17.10%,34.00%
27065,22.30%,14.80%,13.70%,14.60%,34.60%
27067,10.90%,10.70%,18.20%,29.00%,31.20%
27069,6.80%,16.80%,22.10%,25.10%,29.20%
27071,15.90%,18.30%,8.70%,25.50%,31.60%
27073,18.40%,9.60%,24.80%,17.90%,29.30%
27075,8.70%,3.30%,7.50%,34.10%,46.40%
27077,9.10%,17.10%,17.60%,24.90%,31.30%
27079,5.50%,16.80%,14.70%,25.40%,37.70%
27081,11.00%,7.80%,20.30%,29.20%,31.70%
27083,13.40%,7.50%,24.20%,21.00%,33.90%
27085,6.10%,17.60%,19.30%,38.30%,18.60%
27087,7.00%,27.90%,8.30%,18.50%,38.20%
27089,7.80%,15.20%,22.10%,23.40%,31.50%
27091,18.00%,11.50%,13.40%,20.50%,36.60%
27093,7.20%,14.40%,9.40%,32.30%,36.70%
27095,22.40%,12.20%,15.90%,14.60%,34.90%
27097,14.00%,12.60%,12.10%,24.00%,37.30%
27099,7.10%,10.70%,11.30%,26.20%,44.80%
27101,13.10%,7.10%,22.40%,27.00%,30.30%
27103,6.30%,8.50%,16.40%,29.60%,39.20%
27105,24.40%,7.80%,18.00%,21.50%,28.40%
27107,12.20%,15.40%,10.90%,18.60%,42.80%
27109,2.30%,10.10%,5.70%,33.30%,48.50%
27111,7.80%,18.20%,27.80%,17.00%,29.10%
27113,8.10%,19.70%,21.10%,20.50%,30.60%
27115,17.80%,14.30%,7.40%,24.20%,36.40%
27117,8.80%,18.20%,13.20%,28.10%,31.70%
27119,10.40%,20.80%,19.70%,19.60%,29.50%
27121,13.90%,14.70%,10.30%,21.60%,39.50%
27123,4.40%,4.60%,8.60%,25.90%,56.40%
27125,9.50%,24.10%,19.40%,18.40%,28.60%
27127,8.10%,12.30%,24.80%,25.50%,29.30%
27129,5.00%,13.60%,19.30%,37.40%,24.70%
27131,8.90%,3.80%,11.70%,30.10%,45.40%
27133,9.50%,22.00%,11.00%,24.70%,32.80%
27135,7.70%,15.10%,21.10%,23.40%,32.70%
27137,9.50%,5.20%,9.80%,29.70%,45.70%
27139,2.10%,5.70%,12.00%,31.90%,48.20%
27141,6.40%,17.50%,17.50%,23.90%,34.60%
27143,4.00%,17.50%,17.20%,38.00%,23.30%
27145,8.20%,14.20%,18.70%,17.40%,41.50%
27147,7.40%,6.20%,14.40%,35.40%,36.50%
27149,16.90%,12.60%,11.70%,19.20%,39.70%
27151,17.00%,11.30%,15.20%,21.20%,35.30%
27153,9.70%,19.80%,14.60%,19.60%,36.30%
27155,19.60%,13.90%,16.00%,11.00%,39.50%
27157,4.10%,8.50%,12.90%,31.80%,42.70%
27159,6.10%,21.10%,15.70%,20.30%,36.70%
27161,7.40%,4.80%,11.70%,33.20%,42.90%
27163,4.40%,8.80%,10.30%,26.20%,50.30%
27165,14.90%,5.30%,22.50%,22.10%,35.20%
27167,16.60%,14.80%,23.90%,9.60%,35.20%
27169,2.90%,15.10%,5.70%,32.80%,43.50%
27171,8.30%,10.90%,16.20%,25.90%,38.70%
27173,12.20%,9.60%,25.40%,20.20%,32.60%
28001,11.30%,11.20%,13.10%,8.40%,56.00%
28003,6.90%,13.10%,15.00%,22.20%,42.80%
28005,11.00%,9.20%,12.20%,20.40%,47.30%
28007,6.50%,10.40%,9.20%,13.90%,60.10%
28009,1.80%,1.40%,24.60%,23.30%,48.90%
28011,12.30%,4.60%,12.70%,24.90%,45.60%
28013,7.40%,16.10%,9.20%,17.90%,49.40%
28015,8.00%,14.40%,11.90%,12.00%,53.70%
28017,7.00%,13.40%,8.80%,18.20%,52.50%
28019,3.50%,9.40%,6.40%,21.90%,58.80%
28021,3.80%,6.10%,8.80%,21.40%,59.80%
28023,4.40%,2.10%,13.30%,20.50%,59.70%
28025,2.90%,8.20%,9.80%,21.40%,57.70%
28027,3.80%,5.60%,11.80%,33.00%,45.90%
28029,7.30%,8.40%,13.40%,15.70%,55.20%
28031,11.00%,10.50%,8.50%,19.30%,50.60%
28033,5.50%,7.80%,8.80%,23.60%,54.30%
28035,7.20%,4.20%,9.10%,26.70%,52.70%
28037,8.70%,11.20%,15.40%,13.80%,50.90%
28039,3.70%,10.20%,8.80%,34.60%,42.80%
28041,1.50%,11.20%,7.00%,26.20%,54.10%
28043,5.60%,13.50%,13.30%,18.90%,48.60%
28045,6.30%,9.00%,8.90%,25.40%,50.30%
28047,9.30%,7.10%,14.20%,23.70%,45.70%
28049,1.90%,9.60%,11.50%,18.30%,58.80%
28051,6.20%,7.20%,9.50%,9.90%,67.20%
28053,11.70%,7.10%,9.80%,10.40%,61.00%
28055,3.00%,6.00%,13.70%,16.20%,61.20%
28057,11.60%,7.40%,15.50%,19.10%,46.40%
28059,7.70%,9.20%,12.00%,24.00%,47.20%
28061,6.60%,9.00%,14.40%,16.70%,53.30%
28063,7.60%,8.30%,13.70%,15.00%,55.50%
28065,14.10%,13.20%,10.10%,18.10%,44.50%
28067,6.90%,7.90%,11.80%,16.90%,56.50%
28069,3.20%,2.10%,8.20%,17.70%,68.70%
28071,1.90%,5.90%,16.10%,20.00%,56.00%
28073,8.70%,4.50%,8.00%,27.00%,51.70%
28075,3.60%,1.80%,10.50%,19.70%,64.30%
28077,11.90%,13.30%,14.20%,13.50%,47.10%
28079,3.10%,4.00%,13.90%,15.80%,63.30%
28081,9.40%,9.20%,13.00%,18.00%,50.50%
28083,12.20%,9.30%,11.90%,12.90%,53.70%
28085,7.70%,12.90%,13.60%,14.20%,51.60%
28087,1.80%,5.20%,14.80%,19.30%,59.00%
28089,2.90%,4.30%,18.40%,24.20%,50.20%
28091,13.70%,9.60%,10.30%,25.50%,40.80%
28093,1.30%,0.60%,13.00%,30.10%,55.00%
28095,8.70%,6.40%,13.90%,17.10%,53.90%
28097,5.80%,17.60%,10.90%,14.70%,51.00%
28099,1.70%,1.80%,6.60%,17.10%,72.90%
28101,1.00%,2.50%,10.00%,20.30%,66.20%
28103,0.90%,3.40%,11.20%,20.30%,64.20%
28105,1.50%,7.00%,8.10%,24.20%,59.10%
28107,6.10%,15.80%,11.30%,26.90%,39.90%
28109,5.00%,12.40%,8.80%,25.10%,48.70%
28111,5.70%,5.60%,11.00%,27.30%,50.30%
28113,11.60%,9.20%,10.60%,15.50%,53.10%
28115,6.00%,11.30%,11.40%,19.70%,51.60%
28117,10.30%,10.40%,17.00%,23.40%,38.90%
28119,4.10%,10.10%,10.00%,31.20%,44.60%
28121,3.10%,10.30%,12.70%,17.90%,56.10%
28123,2.60%,4.90%,12.90%,25.20%,54.30%
28125,6.60%,6.80%,14.80%,12.80%,59.00%
28127,8.10%,12.40%,14.90%,15.40%,49.10%
28129,10.60%,17.20%,11.10%,19.40%,41.70%
28131,10.90%,6.40%,12.40%,22.40%,47.90%
28133,13.70%,6.40%,11.80%,18.20%,49.80%
28135,6.10%,8.60%,11.80%,27.40%,46.10%
28137,9.70%,5.20%,14.90%,26.50%,43.70%
28139,6.80%,6.90%,21.70%,21.30%,43.40%
28141,7.20%,17.90%,15.50%,22.50%,37.00%
28143,13.10%,3.60%,8.90%,17.60%,56.80%
28145,7.80%,8.50%,14.80%,21.90%,47.00%
28147,15.80%,8.60%,13.40%,21.30%,40.90%
28149,2.10%,7.90%,9.50%,21.70%,58.60%
28151,13.80%,8.40%,16.40%,11.40%,50.00%
28153,3.70%,6.20%,12.10%,19.40%,58.70%
28155,5.20%,14.50%,7.90%,22.20%,50.20%
28157,14.60%,14.30%,7.50%,15.50%,48.10%
28159,2.90%,3.80%,5.70%,19.90%,67.60%
28161,2.90%,10.80%,12.10%,21.70%,52.30%
28163,5.00%,3.80%,14.50%,15.90%,60.80%
29001,6.70%,9.80%,18.70%,25.30%,39.50%
29003,13.30%,19.70%,16.40%,23.40%,27.20%
29005,9.00%,14.40%,9.70%,28.70%,38.20%
29007,11.00%,7.80%,20.30%,28.10%,32.70%
29009,10.60%,6.00%,25.60%,23.50%,34.30%
29011,15.00%,13.10%,13.40%,11.10%,47.40%
