COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
8007,4.10%,4.10%,15.50%,27.60%,48.80%
8009,11.30%,5.30%,19.40%,20.60%,43.50%
8011,3.30%,3.60%,17.20%,19.10%,56.70%
8013,0.80%,1.50%,3.20%,19.50%,75.00%
8014,1.80%,0.50%,4.20%,20.10%,73.40%
8015,3.80%,4.50%,13.40%,13.80%,64.50%
8017,1.60%,18.70%,10.60%,39.80%,29.20%
8019,0.20%,1.50%,13.80%,12.30%,72.30%
8021,6.00%,10.60%,9.30%,19.50%,54.50%
8023,3.40%,7.20%,7.60%,17.50%,64.40%
8025,0.20%,3.40%,8.00%,29.40%,59.00%
8027,1.70%,9.80%,15.30%,23.40%,49.80%
8029,8.70%,9.40%,7.40%,29.50%,45.00%
8031,2.00%,1.80%,6.20%,19.40%,70.70%
8033,5.20%,3.90%,6.60%,25.20%,59.10%
8035,1.30%,4.10%,8.10%,19.20%,67.30%
8037,0.80%,0.30%,3.30%,26.90%,68.70%
8039,1.60%,4.40%,19.00%,24.60%,50.50%
8041,3.10%,8.90%,8.10%,19.60%,60.30%
8043,0.60%,6.90%,6.20%,20.00%,66.30%
8045,6.50%,4.00%,3.70%,32.60%,53.20%
8047,0.10%,2.70%,1.70%,17.00%,78.50%
8049,0.60%,0.20%,5.00%,18.70%,75.40%
8051,5.70%,3.90%,4.30%,28.10%,58.10%
8053,4.30%,5.00%,11.70%,27.10%,51.90%
8055,2.80%,5.10%,5.10%,27.50%,59.50%
8057,2.10%,2.70%,9.00%,34.20%,52.00%
8059,2.80%,3.10%,7.50%,19.40%,67.30%
8061,2.80%,5.10%,15.90%,27.00%,49.20%
8063,2.40%,32.30%,11.90%,34.40%,19.00%
8065,0.20%,1.60%,3.60%,19.30%,75.30%
8067,4.30%,2.00%,12.20%,27.40%,54.10%
8069,1.30%,3.70%,6.00%,23.10%,65.90%
8071,5.20%,3.00%,10.10%,17.00%,64.80%
8073,1.30%,6.80%,19.60%,40.30%,32.10%
8075,7.80%,20.20%,10.10%,36.80%,25.10%
8077,7.50%,10.50%,9.80%,22.20%,49.90%
8079,4.90%,7.20%,13.80%,26.40%,47.80%
8081,4.10%,14.20%,16.20%,28.40%,37.10%
8083,5.70%,1.90%,8.10%,25.70%,58.60%
8085,8.50%,9.20%,7.40%,31.40%,43.60%
8087,8.30%,16.10%,11.60%,24.50%,39.60%
8089,0.40%,4.70%,10.20%,19.40%,65.30%
8091,6.00%,8.00%,6.90%,29.50%,49.50%
8093,2.10%,1.80%,10.30%,13.70%,72.20%
8095,5.00%,19.00%,13.70%,25.50%,36.80%
8097,1.90%,1.40%,1.60%,31.80%,63.30%
8099,7.90%,4.60%,20.50%,20.10%,46.90%
8101,1.80%,4.40%,7.40%,28.00%,58.40%
8103,11.10%,9.20%,7.40%,26.50%,45.80%
8105,6.10%,14.40%,11.00%,24.20%,44.40%
8107,0.80%,3.60%,9.20%,37.50%,48.90%
8109,6.50%,12.20%,13.80%,23.20%,44.30%
8111,3.20%,3.80%,9.70%,27.00%,56.30%
8113,4.30%,5.80%,7.40%,26.00%,56.50%
8115,6.50%,16.20%,13.80%,26.70%,36.80%
8117,0.00%,0.10%,6.40%,15.10%,78.40%
8119,10.50%,8.70%,6.60%,14.50%,59.70%
8121,7.70%,20.80%,10.10%,30.30%,31.00%
8123,4.60%,3.80%,13.50%,23.10%,55.00%
8125,3.80%,28.40%,13.30%,25.50%,29.00%
9001,2.70%,1.90%,6.00%,11.40%,78.00%
9003,1.50%,2.30%,6.50%,13.00%,76.70%
